belief,budget,policy,policy_config,cost_aware,room_change_cost,task_accuracy,accuracy_vs_c0,senses_per_question,senses_vs_c0,cost_per_question,same_room_sense_fraction,forced_answer_rate
OracleBelief,24,ResolvableMassSense,ResolvableMassSense_best,False,0.25,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,24,ResolvableMassSense,ResolvableMassSense_best,False,0.5,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,24,ResolvableMassSense,ResolvableMassSense_best,False,1,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,24,ResolvableMassSense,ResolvableMassSense_best,False,2,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,24,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0,0.773422,0.0,0.2664,0.0,0.2664,0.352519,0.0
OracleBelief,24,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0.25,0.765422,-0.008,0.2312,-0.0352,0.262967,0.450404,0.317378
OracleBelief,24,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0.5,0.761467,-0.011955,0.208444,-0.057956,0.264267,0.464392,0.196667
OracleBelief,24,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,1,0.759111,-0.014311,0.178,-0.0884,0.266622,0.502122,0.019244
OracleBelief,24,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,2,0.752711,-0.020711,0.142044,-0.124356,0.266667,0.561327,0.038533
OracleBelief,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0,0.776578,0.0,0.262267,0.0,0.262267,0.35638,0.0
OracleBelief,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.25,0.776844,0.000266,0.181822,-0.080445,0.205589,0.477145,0.086578
OracleBelief,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.5,0.773778,-0.0028,0.1792,-0.083067,0.223333,0.50744,0.084978
OracleBelief,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,1,0.754178,-0.0224,0.179422,-0.082845,0.266667,0.513748,0.0192
OracleBelief,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,2,0.751244,-0.025334,0.142222,-0.120045,0.266667,0.5625,0.033556
OracleBelief,90,NeverSense,NeverSense,False,0,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,90,NeverSense,NeverSense,False,0.25,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,90,NeverSense,NeverSense,False,0.5,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,90,NeverSense,NeverSense,False,1,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,90,NeverSense,NeverSense,False,2,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,90,SequentialSearch,SequentialSearch,False,0,0.786578,0.0,1.0,0.0,1.0,0.278978,0.0
OracleBelief,90,SequentialSearch,SequentialSearch,False,0.25,0.780933,-0.005645,0.847111,-0.152889,0.996656,0.293861,0.4756
OracleBelief,90,SequentialSearch,SequentialSearch,False,0.5,0.778089,-0.008489,0.740889,-0.259111,0.997889,0.306239,0.3228
OracleBelief,90,SequentialSearch,SequentialSearch,False,1,0.772267,-0.014311,0.597556,-0.402444,1.0,0.326515,0.053911
OracleBelief,90,SequentialSearch,SequentialSearch,False,2,0.764267,-0.022311,0.439556,-0.560444,1.0,0.362487,0.082044
OracleBelief,90,ResolvableMassSense,ResolvableMassSense_best,False,0,0.783867,0.0,0.073956,0.0,0.073956,0.220553,0.0
OracleBelief,90,ResolvableMassSense,ResolvableMassSense_best,False,0.25,0.783867,0.0,0.073956,0.0,0.088367,0.220553,0.0
OracleBelief,90,ResolvableMassSense,ResolvableMassSense_best,False,0.5,0.783867,0.0,0.073956,0.0,0.102778,0.220553,0.0
OracleBelief,90,ResolvableMassSense,ResolvableMassSense_best,False,1,0.783867,0.0,0.073956,0.0,0.1316,0.220553,0.0
OracleBelief,90,ResolvableMassSense,ResolvableMassSense_best,False,2,0.783867,0.0,0.073956,0.0,0.189244,0.220553,0.0
OracleBelief,90,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0,0.867378,0.0,0.624844,0.0,0.624844,0.335088,0.0
OracleBelief,90,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0.25,0.856844,-0.010534,0.585956,-0.038888,0.670667,0.421723,0.003422
