belief,policy,mode,alpha,tau,gamma,feedback,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global,budget,sweep
"TimetableLookup(bin=1h,days=all,hl=24h)","ACISense(alpha=0.3,gamma=0.1,sensed)",aci_sensed,0.3,,0.1,sensed,10,22500,0.554622,0.538919,0.091244,8.212,0.0,24,0.988570,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,NeverSense,,,,,10,22500,0.592356,0.588895,0.0,0.0,0.0,24,,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,SequentialSearch,,,,,10,22500,0.653511,0.637176,0.266667,24.0,0.0,24,,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.02,global)",global,0.02,,,,10,22500,0.654756,0.637209,0.266667,24.0,0.0,24,0.999818,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,,,,10,22500,0.654489,0.63733,0.266667,24.0,0.0,24,0.999818,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.05,global)",global,0.05,,,,10,22500,0.653867,0.636847,0.266667,24.0,0.0,24,0.999600,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,,,,10,22500,0.656222,0.637672,0.266667,24.0,0.0,24,0.999600,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.1,global)",global,0.1,,,,10,22500,0.658844,0.640324,0.266667,24.0,0.0,24,0.999255,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,,,,10,22500,0.658578,0.639256,0.266667,24.0,0.0,24,0.999255,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.2,global)",global,0.2,,,,10,22500,0.663067,0.641231,0.266667,24.0,0.0,24,0.997470,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,,,,10,22500,0.668356,0.644774,0.266667,24.0,0.0,24,0.997470,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.3,global)",global,0.3,,,,10,22500,0.688311,0.653696,0.220356,19.832,0.0,24,0.937579,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.3,age_binned)",age_binned,0.3,,,,10,22500,0.668667,0.643978,0.265778,23.92,0.0,24,0.937579,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.4,global)",global,0.4,,,,10,22500,0.688222,0.647765,0.245511,22.096,0.0,24,0.117829,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.4,age_binned)",age_binned,0.4,,,,10,22500,0.6656,0.640298,0.266667,24.0,0.0,24,0.117829,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.5,global)",global,0.5,,,,10,22500,0.686222,0.648497,0.266667,24.0,0.0,24,0.037791,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.5,age_binned)",age_binned,0.5,,,,10,22500,0.664089,0.639701,0.266667,24.0,0.0,24,0.037791,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.2,global)",resolvable,0.2,0.2,,,10,22500,0.662356,0.641156,0.266667,24.0,0.0,24,0.997470,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.4,global)",resolvable,0.2,0.4,,,10,22500,0.664267,0.64061,0.266667,24.0,0.0,24,0.997470,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",resolvable,0.2,0.6,,,10,22500,0.663867,0.639701,0.266667,24.0,0.0,24,0.997470,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.8,global)",resolvable,0.2,0.8,,,10,22500,0.662,0.63952,0.266667,24.0,0.0,24,0.997470,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.2,global)",resolvable,0.3,0.2,,,10,22500,0.688089,0.652867,0.212533,19.128,0.0,24,0.937579,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",resolvable,0.3,0.4,,,10,22500,0.692222,0.657663,0.204889,18.44,0.0,24,0.937579,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.6,global)",resolvable,0.3,0.6,,,10,22500,0.688,0.657311,0.198844,17.896,0.0,24,0.937579,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.8,global)",resolvable,0.3,0.8,,,10,22500,0.684,0.654511,0.178667,16.08,0.0,24,0.937579,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.4,tau=0.2,global)",resolvable,0.4,0.2,,,10,22500,0.592444,0.58888,0.0,0.0,0.0,24,0.117829,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.4,tau=0.4,global)",resolvable,0.4,0.4,,,10,22500,0.5924,0.588878,0.0,0.0,0.0,24,0.117829,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.4,tau=0.6,global)",resolvable,0.4,0.6,,,10,22500,0.592489,0.588887,0.0,0.0,0.0,24,0.117829,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.4,tau=0.8,global)",resolvable,0.4,0.8,,,10,22500,0.5924,0.588884,0.0,0.0,0.0,24,0.117829,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ACISense(alpha=0.3,gamma=0,oracle)",aci_static,0.3,,0.0,oracle,10,22500,0.689467,0.654087,0.218533,19.668,0.0,24,0.937579,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ACISense(alpha=0.3,gamma=0.01,oracle)",aci_oracle,0.3,,0.01,oracle,10,22500,0.664311,0.639385,0.224711,20.224,0.0,24,0.937579,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ACISense(alpha=0.3,gamma=0.01,sensed)",aci_sensed,0.3,,0.01,sensed,10,22500,0.610133,0.600665,0.030044,2.704,0.0,24,0.937579,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ACISense(alpha=0.3,gamma=0.05,oracle)",aci_oracle,0.3,,0.05,oracle,10,22500,0.666711,0.642683,0.261822,23.564,0.0,24,0.937579,24,budget24
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ACISense(alpha=0.3,gamma=0.05,sensed)",aci_sensed,0.3,,0.05,sensed,10,22500,0.609067,0.599503,0.027778,2.5,0.0,24,0.937579,24,budget24
